অকাল	ɔ k a l
অঙ্গ	ɔ ŋ ɡ o
অঙ্গার	ɔ ŋ ɡ a r
অজগর	ɔ d͡ʒ ɔ ɡ ɔ ɾ
অঞ্চল	ɔ n t ʃ ɔ l
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ ɔ b ɑ
অনেক	ɔ n e k
অন্ন	ɔ nː ɔ
অপারেশন	ɔ p ɑ ɾ e ʃ ɔ n
অমার্জনীয়	ɔ m ɑ ɾ d͡ʒ ɔ n i ɔ
অরণ্য	ɔ ɾ o nː o
অর্থাৎ	ɔ r t̪ʰ a t̪
অশনি	ɔ ʃ o n i
অশোত	ɔ ʃ o t
অসুস্থ	ɔ ʃ u s tʰ ɔ
অহরহ	ɔ ɦ ɔ ɾ ɔ ɦ ɔ
আঁই	ã i
আঁস	a ʃ
আংশিক	a ŋ ʃ i k
আইজ	a i z
আইজকাইল	a i z k a i l
আইজকো	a i z k ɔ
আইজ্যা	a i d͡ʑ d͡ʑ a
আগুন	a ɡ u n
আগ্রাবাদ	a ɡ ɾ a b a d
আজ	a d ʒ
আজব	a d ʒ o b
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
আডা	a d̺ a
আঢ়	a ɾ
আণ্ডা	a ɳ ɖ a
আতকা	a t̪ k a
আতশ	a t̪ o ʃ
আদমশুমার	ɑ d̪ ɔ m ʃ u m ɑ ɾ
আদেশ	ɑ d̪ e ʃ
আন্তর্জাল	ɑ n t̪ ɔ ɾ d͡ʒ ɑ l
আন্ধাইর	a n d̪ʱ a i ɾ
আবহাওয়া	a b o h a w a
আবির	ä b i ɾ
আব্বু	a b b u
আমড়া	a m ɽ a
আমরার	a m ɾ a ɾ
আমলকী	a m l o k i
আমাগর	a m a ɡ ɔ ɾ
আমাদের	ɑ m ɑ d e r
আমার	ɑː m ɑ ɹ
আম্মে	a m m e
আর্তব	ɑ ɾ t̪ ɔ b
আলাপ	a l a p
আলো	a l o
আশোত	a ʃ o t
আষ্ট	a ʃ t̺ ɔ
আসিফ	a s i f
ইগা	i ɡ a
ইটানো	i ʈ a n o
ইডা	i d̺ a
ইন	i n
ইনকিলাব	i n k i l ɑ b
ইনকিলাবি	i n k i l ɑ b i
ইনশাআল্লাহ্	i n ʃ a a l l aʱ
ইন্দু	i n d̪ u
ইয়ান	i a n
ইলিশ	i l i ʃ
ঈগল	i ɡ ɔ l
উক্কা	u k k a
উঙ্ঘানো	u ŋ ɡʱ a n ɔ
উদিন	u d̪ i n
উন্দূর	u n d̪ u ɾ
উয়াস	u a ʃ
উল্কা	u l k ɐ
উল্কি	u l k i
উষ্ণ	u ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
ঋতু	ɾ i t̪ u
একজিবিশন	e k d͡ʒ i b i ʃ ɔ n
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এবে	e b e
এলাকা	e l a k a
ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
ওঠা	o ʈʰ a
ওদের	ɔː ð ɛ ɹ
ওয়াদা	w a d a
কখন	k ɒ kʰ ɒ n
কখনও	k ɔ kʰ ɔ n o
কঠিন	k ɔ ʈʰ i n
কত	k ɔ t̪ o
কদম	k ɔ d ɔ m
কদাচিৎ	k ɔ d̪ ɑ t͡ʃ i t̪
কদু	k o d̪ u
কনকচাঁপা	k ɔ n ɔ k c ã p a
কন্ডম	k ɔ n ɖ ɔ m
কফ	k ɔ pʰ
কবুতর	k o b u t̪ ɔ r
কবে	k oː b ɛ
কয়	k ɔ e̯
কয়ফল	k ɒ e̯ ɸ ɒ l
কয়লাখনি	k ɔ e̯ l ɑ kʰ ɔ n i
কয়েদ	k ɔ e̯ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করঞ্জ	k ɔ ɾ ɔ n ɟ ɔ
করবী	k ɔ ɾ ɔ b i
কাঁঠাল	k a ʈʰ a l
কাঁসা	k ã s a
কাইল	k a i l
কাক	k a k
কাটুয়া	k a t̺ u a
কাণ্টা	k a n t̺ a
কাণ্টামি	k a n t̺ a m i
কান্দইন্যা	k a n d̪ ɔ i n n a
কান্দাইন্যা	k a n d̪ a i n n a
কামরাঙ্গা	k a m ɾ a ŋ ɡ a
কামুক	k a m u k
কারখানা	k a r kʰ a n a
কারিগর	k a r i ɡ ɔ r
কালা	k a l a
কাহই	k a h ɔ i
কিংবা	k i ŋ b ɑ
কিচ্ছা	k i t ʃ t ʃʰ a
কিতা	k i t̪ a
কিতাব	k i t a b
কিনইন্যা	k i n ɔ i n n a
কিনার	k i n a r
কুকুর	k u k u ɾ
কুঞ্জলতা	k u n ɟ ɔ l ɔ t a
কুম	k u m
কুয়াশা	k u a ʃ a
কুসুম	k u ʃ u m
কেগা	k e ɡ a
কেডা	k ɛ d̺ a
কেন	k ɛ n oː
কেলা	k ɛ l a
কোমর	k ɔ m ɔ ɹ
কৌলিক	k o u̯ l i k
ক্যা	k ɛ
ক্ষমাহীন	kʰ ɔ m a ɦ i n
কৎবেল	k ɔ t b e l
খয়ের	kʰ ɔ e ɾ
খরগোশ	kʰ ɔ r ɡ o ʃ
খরচ	kʰ ɔ ɾ o t ʃ
খাতির	kʰ a t̪ i ɾ
খানকি	kʰ a ŋ k i
খারাপ	kʰ a ɾ a p
খালি	kʰ a l i
খালী	kʰ a l i
খুজুটিপাড়া	kʰ u d͡ʒ u ʈ̟ i p ɑ ɽ̟ ɑ
খুব	kʰ u b
খূব	kʰ u b
খেজুর	kʰ e d ʒ u r
খেয়াল	kʰ e a l
খেলা	kʱ æ l a
গণ্ডার	ɡ ɔ n ɖ a r
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গর্দান	ɡ ɔ ɾ d̪ a n
গল্প	ɡ ɔ l p o
গাঁইড়া	ɡ a i ɾ a
গাইড়া	ɡ a i ɾ a
গাড়ি	ɡ a ɽ i
গুফা	ɡ u pʰ ɑ
গুম	ɡ u m
গুম্ফা	ɡ u m pʰ ɑ
গেরাম	ɡ e ɾ ɑ m
গোফা	ɡ o pʰ ɑ
গোশ	ɡ o ʃ
গৌতম	ɡ o u t̪ ɔ m
গ্রাম	ɡ ɾ ɑ m
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
ঘর	ɡʱ ɔ ɾ
ঘাড়	ɡʱ a ɽ
ঘোঙ্গা	ɡʱ o ŋ ɡ ä
ঘোড়া	ɡʱ o ɽ a
ঘোষ	ɡʱ o ʃ
চর্বি	t ʃ o r b i
চশমা	t ʃ ɔ ʃ m a
চাউল	c a u̯ l
চাকমা	t͡ʃ ɐ k m ɐ
চাটা	t ʃ a ʈ a
চালতা	c a l t a
চালানো	t ʃ a l a n o
চিংড়ি	t͡ʃ i ŋ r i
চিলমচি	t ʃ i l ɔ m t ʃ i
চুদা	t͡ʃ u d̪ ɑ
চুম্বন	t ʃ u m b ɔ n
চুরি	t͡ʃ u r i
চুরুট	t͡ʃ u ɾ u ʈ̟
চেয়ার	t͡ʃ e ä ɾ
চেয়ে	t͡ʃ e j e
চোখ	t ʃ o kʰ
ছাত্র	t ʃʰ a t̪ ɾ o
ছিটমহল	t ʃʰ i ʈ m ɔ ɦ ɔ l
জন্মদিন	d ʒ ɔ n m o d̪ i n
জন্যে	d ʒ ɔ nː e
জবাই	d ʒ ɔ b a i
জমি	d ʒ o m i
জমিন	d ʒ o m i n
জায়গা	d ʒ a e̯ ɡ a
জিগানো	z i ɡ a n ɔ
জিনিস	d ʒ i n i ʃ
জির্ভা	z i ɾ bʱ a
জেঠ	z ɛ t̺ʰ
ঝাল	ɟʱ a l
ঝিঙা	ɟʱ i ŋ a
ঝিঙ্গা	ɟʱ i ŋ ɡ a
টলা	t̺ ɒ l a
টিকট	ʈ̟ i k ɔ ʈ̟
টিকিট	ʈ̟ i k i ʈ̟
টুপি	ʈ u p i
টেহা	t̺ ɛ ɦ a
ট্যাক্সি	ʈ æ k s i
ঠাঁঁই	ʈʰ ã i
ঠাঁই	ʈʰ ã i
ডগ	d̺ ɒ ɡ
ডাক্তার	ɖ a k t̪ a ɾ
ডাঙর	d a ŋ ɔ ɾ
ডুরিয়ান	ɖ̟ u ɾ i ɑ n
ডেহা	d̺ ɛ ɦ a
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
তটিনী	t o ʈ i n i
তড়িৎ	t̪ ɔ ɽ i t̪
তবুও	t̪ ɔ b u o
তবে	t̪ ɔ b e
তল্লাশি	t̪ ɔ l l a ʃ i
তাঁরা	t̪ ã r a
তাওয়া	t̪ a w a
তাকানো	t̪ a k a n̪ o
তামা	t a m a
তামাশা	t̪ ä m ä s̠ ä
তামুক	t̪ a m u k
তারা	t̪ a r a
তারিপ	t̪ ä ɾ i p
তারিফ	t̪ ä ɾ i pʰ
তিসি	t i ʃ i
তীর	t̪ ɪː ɾ
তুঁই	t̪ ũ i
তুফান	t̪ u f a n
তুরিত	t̪ u ɾ i t̪
তেঁতুল	t ẽ t u l
তোশক	t̪ o ʃ o k
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
থন	t̪ʰ ɒ n
থনে	t̪ʰ ɒ n e
থলি	t̪ʰ ɔ l i
থানকুনি	tʰ a n k u n i
থার্মমিটার	t̪ʰ ɑ ɾ m ɔ m i ʈ̟ ɑ ɾ
থার্মোমিটার	t̪ʰ ɑ ɾ m o m i ʈ̟ ɑ ɾ
দপ্তর	d̪ ɔ p t̪ o ɾ
দফতর	d̪ ɔ f t̪ o ɾ
দরজা	d̪ ɔ ɾ d ʒ a
দরবার	d̪ ɔ r b a r
দরিয়া	d̪ o r i j a
দলান	d̪ ɒ l a n
দাখিল	d̪ a kʰ i l
দাড়ি	d a ɽ i
দালান	d̪ a l a n
দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
দুঃখ	d u k kʰ o
দুইন্যাই	d u i n n a i
দুগি	d̪ u ɡ i
দুপুর	d̪ u p u ɾ
দুরিয়ান	d̪ u ɾ i ɑ n
দেশ	d̪ e ʃ
দোতারা	d̪ o t̪ a ɾ a
দোলনা	d o l n a
দ্রুত	d̪ ɾ ʊ t̪ o
ধনে	dʱ o n e
ধর্ষণ	dʱ ɔ ɾ ʃ ɔ n
ধাইর	d̪ʱ a i ɾ
ধারি	d̪ʱ a ɾ i
নগ্নতা	n ɔ ɡ n o t̪ a
নবডঙ্কা	n ɔ b ɔ d ɔ ŋ k ɑ
নভেল	n ɔ bʱ e l
নমস্কার	n ɔ m ɔ ʃ k a r
নরম	n ɔ ɾ o m
নাইহল	n a i ɦ ɒ l
নাপ্পি	n ɑ p p i
নাম	n a m
নামহীন	n a m ɦ i n
নিয়াস	n i a ʃ
নিষিদ্ধ	n i ʃ i d̪ːʱ o
নেমন্তন্ন	n e m o n t̪ o n n o
পটোল	p ɔ ʈ o l
পদ্ম	p ɔ d̪ː ɔ
পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɾ
পরিস্থিতি	p ɔ ɾ i ʃ t̪ʰ i t̪ i
পরেন্দা	p ɔ ɾ ɛ n d̪ a
পর্বত	p ɔ r b ɔ t
পা	p a
পাইথন	p ɑ i t̪ʰ ɔ n
পাউরা	p a u ɾ a
পাকস্থলী	p a k ɔ s tʰ o l i
পাঠানো	p ɑ ʈʰ ɑ n o
পাতা	p a t a
পানি	p ɑː n iː
পানু	p ɑ n u
পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
পান্না	p a nː a
পায়ু	p ɑ e̯ u
পায়ুকাম	p ɑ e̯ u k ɑ m
পায়ুকামী	p ɑ e̯ u k ɑ m i
পাসরা	p a ʃ ɔ ɾ a
পাহুরা	p a ɦ u ɾ a
পিপলী	p i p ɔ l i
পিপ্পল	p i pː ɔ l
পিয়ানো	p i ɑ n o
পুজো	p u d͡ʒ o
পুদিনা	p u d̪ i n a
পুষ্টিকর	p u ʃ ʈ̟ i k ɔ ɾ
পুষ্প	p u ʃ p ɔ
পুস্তক	p u s t ɔ k
পূজা	p u d͡ʒ ɑ
পূতিবাত	p u t i b a t
পেঁচা	p ɛ̃ t ʃ a
পেরেশান	p e r e ʃ a n
প্যাঁচা	p ɛ̃ t ʃ a
প্রসব	p ɾ o ʃ ɔ b
প্রস্তুত	p ɾ ɔ ʃ t̪ u t̪
প্রাচীন	p r ɑ c i n
প্রেমিক	p ɾ e m i k
প্রেমিকা	p ɾ e m i k ɑ
প্লিজ	p l i z
প্লীজ	p l i z
ফলসা	pʰ ɔ l ʃ a
ফায়দা	f a j d̪ a
ফারাক	f a r a k
ফিরেবার	ɸ i ɾ e b a ɾ
ফ্লপি	pʰ l ɔ p i
বকুল	b o k u l
বগল	b o ɡ o l
বঙ্গ	b ɔ ŋ ɡ ɔ
বজ্র	b ɔ ɟ ɾ ɔ
বড়দিন	b ɔ ɽ̟ ɔ d i n
বড়োদিন	b ɔ ɽ̟ o d i n
বন্ধে	b ɒ n d̪ʱ e
বন্যা	b ɔ nː a
বসা	b ɔ ʃ a
বসু	b ɔ ʃ u
বাংলাদেশি	b a ŋ l a d̪ e ʃ i
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
বাইট	b a i ʈ
বাইত্যা	b a i t̪ t̪ a
বাইরাগ	b a i ɾ a ɡ
বাগ	b a ɡ
বাঙালি	b a ŋ a l i
বাত্তি	b a t̪ t̪ i
বাদশাহ	b a d̪ ʃ a ɦ
বাবা	b a b a
বাবুর্চি	b a b u r t ʃ i
বারি	b a ɾ i
বালিশ	b a l i ʃ
বাহির	b a ɦ i ɾ
বিজ্ঞান	b i ɡː æ n
বিজ্ঞাপন	b i ɡ j a p ɔ n
বিদেশ	b i d̪ e ʃ
বিদেশি	b i d̪ e ʃ i
বিন্দু	b i n d̪ u
বিবাদ	b i b ɑ d̪
বিমানবন্দর	b i m ɑ n b ɔ n d̪ ɔ ɾ
বিয়াল	b i a l
বিরুদ্ধে	b i r u d̪ːʱ e
বিল্ব	b i lː ɔ
বিশ্রী	b i s ɾ i
বিসর্গ	b i ʃ o r ɡ o
বুড়	b u ɾ
বুভুক্ষা	b u bʱ u k kʰ ɑ
বৃক্ষ	b r i k kʰ o
বেঁহা	b ɛ ɦ a
বেগুন	b e ɡ u n
বেডা	b ɛ d̺ a
বেডি	b e d̺ i
বেপরোয়া	b e p ɔ r w a
বেশী	b e ʃ i
বৈঁচি	b õ ĩ̯ c i
বোকাচোদা	b o k ɑ t͡ʃ o d̪ ɑ
বোন	b o n
বোস	b o ʃ
ব্যক্তি	b æ k t̪ i
ব্যস্ত	b ɛ s t̪ ɔ
ব্যাক	b ɛ k
ব্যাঘ্র	b æ ɡʱ ɾ ɔ
ব্যাটারি	b æ ʈ̟ ɑ ɾ i
ব্যাধি	b æ dʱ i
ব্লগ	b l ɔ ɡ
ভাড়াইট্যা	bʱ a ɾ a i t̺ t̺ a
ভারত	bʱ a ɾ ɔ t̪
ভালোবাসা	bʱ a l o b a ʃ a
ভিয়েতনাম	v i j e t̪ n a m
ভেস্তা	bʱ e ʃ t̪ ɑ
মতি	m ɔ t̪ i
মতো	m ɔ t̪ o
মলম	m ɔ l o m
মস্তিষ্ক	m ɔ s t̪ i ʃ k o
মহাভারত	m ɔ ɦ ɑ bʱ ɑ ɾ ɔ t̪
মাইনষে	m a i n ʃ e
মাতৃ	m ɑ t̪ ɾ i
মাতৃভাষা	m ɑ t̪ ɾ i bʱ ɑ ʃ ɑ
মাধ্যমে	m a d̪ːʱ ɔ m e
মানষি	m a n ʃ i
মানু	m a n u
মানুষ	m a n u ʃ
মালূর	m a l u ɾ
মাশাআল্লাহ্	m a ʃ a a l l aʱ
মিডা	m i d̺ a
মিনসা	m i n ʃ a
মু	m u
মুক্তিযুদ্ধ	m u k t̪ i d͡ʒ u d̪ d̪ʱ ɔ
মুরগি	m u r ɡ i
মুরগী	m u r ɡ i
মূত্র	m u t̪ t̪ ɾ ɔ̝ˑ
মূত্রনালি	m u t̪ t̪ ɾ ɔ̝ n ä l iˑ
মেকুর	m ɛ k u ɾ
মেজাজ	m e d ʒ a d ʒ
মেথী	m e tʰ i
মেয়ে	m e e
মেহুর	m e ɦ u ɾ
মোটা	m o ʈ a
মোতি	m o t̪ i
মোরগ	m o r ɔ ɡ
মৌল	m o u̯ l
মৌসুমি	m o u ʃ u m i
যিরূশালেম	d͡ʒ i ɾ u ʃ a l e m
যুবতী	d ʒ u b ɔ t̪ i
রইদ	r ɔ i d̪
রউন	r ɔ u n
রওনা	r ɔ o n a
রওয়ানা	r ɔ w a n a
রসায়ন	ɹ o ɹ ʃ j n
রসুই	ɾ ɔ ʃ u i
রসুইঘর	ɾ ɔ ʃ u i ɡʱ ɔ ɾ
রসুল	ɾ ɔ ʃ u l
রাং	ɾ a ŋ
রাই	ɾ a i
রামায়ণ	ɾ ɑ m ɑ e̯ ɔ n
রাষ্ট্র	ɾ a ʃ ʈ ɾ ɔ
রাস্তা	ɾ a s t̪ a
রিকশা	r i k ʃ ɑ
রিষ্ট	ɾ i ʃ ʈ ɔ
রোগ	ɾ o ɡ
রোজা	ɾ o z a
লক্ষ্মীপেঁচা	l o kːʰ i p æ̃ c a
লক্ষ্মীফল	l o kːʰ i pʰ ɔ l
লবডঙ্কা	l ɔ b ɔ d ɔ ŋ k ɑ
লাইব্রেরী	l a i b ɾ e ɾ i
লাকান	l a k a n
লাশ	l a ʃ
লাহান	l a ɦ a n
লুডা	l u d̺ a
লেবু	l e b u
শউর	ʃ ɔ u ɾ
শউরী	ʃ ɔ u ɾ i
শক্ত	ʃ ɔ k t̪ ɔ
শঙ্খচূড়	ʃ ɔ ŋ kʰ o t ʃ u ɽ
শতরকম	ʃ ɔ t̪ ɔ ɾ ɔ k ɔ m
শতাংশ	ʃ ɔ t̪ ɑ ŋ ʃ ɔ
শয়তান	ʃ ɔ j t̪ a n
শরাব	s h ô r a b
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শান্তনু	ʃ ɑ n t̪ ɔ n u
শামিয়ানা	ʃ a m i j a n a
শালগম	ʃ a l ɡ ɔ m
শিকার	ʃ i k a r
শিকারি	ʃ i k a r i
শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
শিখ	ʃ i kʰ
শিথান	ʃ i t̪ʰ a n
শিরীষ	ʃ i ɾ i ʃ
শুমার	ʃ u m ɑ ɾ
শুরু	ʃ u r u
শুলফা	ʃ u l pʰ a
শেখা	ʃ e kʰ a
শৈবাল	ʃ o i̯ b a l
শ্মশান	ʃ o ʃ ɐ n
শ্যাম্পু	ʃ æ m p u
শ্রীনিকেতন	ʃ ɾ i n i k e t̪ ɔ n
শ্রীফল	s ɾ i pʰ ɔ l
শ্রীবৃক্ষ	s ɾ i b ɾ i kːʰ ɔ
শ্লেষ্মা	ʃ l e ʃ ʃ ɑ̃
সংক্রামক	ʃ ɔ ŋ k ɾ a m ɔ k
সংবাদ	ʃ ɔ ŋ b ɑ d̪
সংশয়	ʃ ɔ ŋ ʃ ɔ e̯
সঙ্গে	ʃ ɔ ŋ ɡ e
সজারু	ʃ ɔ d͡ʒ a r u
সত্য	ʃ o tː ɔ
সত্যফল	ʃ o tː ɔ pʰ ɔ l
সদর	ʃ ɔ d̪ o ɾ
সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদাই	ʃ ɔ d̪ a i
সনদ	ʃ ɔ n o d̪
সপ্তাহ	ʃ ɔ p t̪ ɑ ɦ ɔ
সমক	ʃ ɒ m ɔ k
সমকামী	ʃ ɔ m ɔ k ɑ m i
সমকে	ʃ ɒ m k e
সময়কাল	ʃ ɔ m ɔ j k a l
সমীরণ	ʃ o m i ɾ ɔ n
সম্পাদিকা	ʃ ɔ m p ɑ d̪ i k ɑ
সরকার	ʃ ɔ ɾ k a ɾ
সরদ	ʃ ɔ ɾ ɔ d̪
সলিল	ʃ o l i l
সহকর্মী	ʃ ɔ ɦ ɔ k ɔ ɾ m i
সাগর	ʃ a ɡ ɔ ɾ
সাদা	ʃ a d̪ a
সাবান	ʃ a b a n
সাবাশ	ʃ a b a ʃ
সাবাস	ʃ a b a ʃ
সার	ʃ a ɾ
সার্জারি	ʃ ɑ ɾ d͡ʒ ɑ ɾ i
সালাম	s a l a m
সিগারেট	s i ɡ ɑ r e ʈ
সিন্দুক	ʃ i n d̪ u k
সিলডি	s i l ɔ d̺ i
সিলেইট্যা	s i l e i t̺ t̺ a
সুন্দরী	ʃ u n d̪ ɔ ɾ i
সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
সুলতান	s u l t̪ a n
সুলতানা	s u l t̪ a n a
সেঁউতি	ʃ ẽ u t̪ i
স্কুটার	ʃ k u ʈ̟ ɑ ɾ
স্নেহ	s n e ɦ o
স্ফটিক	ʃ pʰ o ʈ i k
স্বাস্থ্য	ʃ a s tʰ j ɔ
সৎ	s ɔ t̪
হউরী	ɦ ɔ u ɾ i
হক্কল	ɦ ɒ k k ɔ l
হগল	ɦ ɒ ɡ ɔ l
হঙ্গে	ɦ ɒ ŋ ɡ e
হতাশা	ɦ ɔ t̪ ɑ ʃ ɑ
হন্দর	ɦ ɔ n d̪ ɔ ɾ
হমান	ɦ ɒ m a n
হমুক	ɦ ɔ m u k
হয়রান	ɦ ɔ e̯ ɾ a n
হরা	ɦ ɒ ɾ a
হরিজন	ɦ ɔ ɾ i d͡ʒ ɔ n
হরীতকী	h o ɾ i t o k i
হরু	ɦ ɔ ɾ u
হরুলা	ɦ ɔ ɾ u l a
হহুন	ɦ ɔ ɦ u n
হাঁ	h æ̃ː
হাঁই	ɦ a i
হাঁটা	ɦ a ʈ a
হাঁতরানো	ɦ a t̪ ɾ a n ɔ
হাইর	ɦ a i ɾ
হাগু	ɦ a ɡ u
হাঙ্গুর	h ɐ ŋ ɡ u r
হাড়ি	ɦ a ɾ i
হাত	ɦ a t̪
হাতি	ɦ ɑ t̪ i
হাবশি	ɦ ɑ b ʃ i
হামলা	ɦ a m l a
হামানদিস্তা	h a m a n d i s t a
হামুক	ɦ a m u k
হাসা	ɦ ɑ ʃ ɑ
হাসানো	ɦ ɑ ʃ ɑ n o
হিগা	ɦ i ɡ a
হিটলার	ɦ i ʈ̟ l ɑ ɾ
হিনান	ɦ i n a n
হিয়ান	ɦ i a n
হিয়াল	ɦ i a l
হিল	ɦ i l
হিসাব	ɦ i ʃ a b
হুটকি	ɦ u t̺ k i
হুদা	h u d ɐ
হুনা	ɦ u n a
হুনি	ɦ u n i
হুরইন	ɦ u ɾ ɔ i n
হুরু	ɦ u ɾ u
হে	ɦ e
হেঁজ	ɦ ɛ z
হেঁজা	ɦ ɛ z a
হেঁজার	ɦ ɛ z a ɾ
হেই	ɦ e i
হেউত	ɦ e u t̪
হেতাই	ɦ ɛ t̪ a i
হেতাইন	ɦ ɛ t̪ a i n
হেতি	ɦ e t̪ i
হেতে	ɦ ɛ t̪ e
হোয়া	ɦ ɔ a
হোয়াদ	ɦ o a d̪
হোল	ɦ o l
হ্যাঁ	h ɛ̃
