аби	ɐ b ɪ
абсолютно	ɐ b s o lʲ u t n ɔ
абсорбент	ɐ b s ɔ r b ɛ n t
аварія	ɐ ʋ ɑ rʲ i j ɐ
автентичність	ɐ u̯ t e n t ɪ t͡ʃ nʲ i sʲ tʲ
авто	ɐ u̯ t ɔ
авіалайнер	ɐ ʋʲ i ɐ ɫ ɑ i̯ n e r
аграрний	ɐ ɦ r ɑ r n e i̯
амстердам	ɐ m s t e r d ɑ m
аналізувати	ɐ n ɐ lʲ i z ʊ ʋ ɑ t e
андрій	ɐ n dʲ rʲ i i̯
анна	ɑ nː ɐ
арешт	ɐ r ɛ ʃ t
ароматний	ɐ r ɔ m ɑ t n e i̯
астероїд	ɐ s t e r ɔ j i d
ательє	ɐ t e lʲ j ɛ
багато	b ɐ ɦ ɑ t ɔ
батько	b ɑ tʲ k ɔ
бачити	b ɑ t͡ʃ e t e
безліч	b ɛ zʲ lʲ i t͡ʃ
битва	b ɪ t ʋ ɐ
битви	b ɪ t ʋ e
близько	b ɫ ɪ zʲ k ɔ
бо	b ɔ
богдан	b ɔ ɦ d ɑ n
богдана	b ɔ ɦ d ɑ n ɐ
боже	b ɔ ʒ e
бойко	b ɔ i̯ k ɔ
бонуси	b ɔ n ʊ s e
боротися	b ɔ r ɔ t e sʲ ɐ
борошно	b ɔ r ɔ ʃ n ɔ
британія	b r e t ɑ nʲ i j ɐ
був	b u u̯
будучи	b u d ʊ t͡ʃ e
була	b ʊ ɫ ɑ
були	b ʊ ɫ ɪ
бути	b u t e
біг	bʲ i ɦ
бік	bʲ i k
білодід	bʲ i ɫ o dʲ i d
білорусь	bʲ i ɫ o r u sʲ
більш	bʲ i lʲ ʃ
більше	bʲ i lʲ ʃ e
більшість	bʲ i lʲ ʃʲ i sʲ tʲ
біля	bʲ i lʲ ɐ
вам	ʋ ɑ m
вами	ʋ ɑ m e
вас	ʋ ɑ s
ваше	ʋ ɑ ʃ e
вбивати	w b e ʋ ɑ t e
вбивство	w b ɪ u̯ s t w ɔ
ввести	ʋː e s t ɪ
ввечері	ʋː ɛ t͡ʃ e rʲ i
ведучий	ʋ e d u t͡ʃ e i̯
весна	ʋ e s n ɑ
вестися	ʋ e s t ɪ sʲ ɐ
весь	ʋ ɛ sʲ
вечір	ʋ ɛ t͡ʃʲ i r
вже	w ʒ ɛ
вжити	w ʒ ɪ t e
ви	ʋ ɪ
виборах	ʋ ɪ b ɔ r ɐ x
вибору	ʋ ɪ b ɔ r ʊ
вибух	ʋ ɪ b ʊ x
вибір	ʋ ɪ bʲ i r
видіння	ʋ e dʲ i nʲː ɐ
виживання	ʋ e ʒ e ʋ ɑ nʲː ɐ
визнання	ʋ e z n ɑ nʲː ɐ
вийти	ʋ ɪ i̯ t e
виклик	ʋ ɪ k ɫ e k
виконання	ʋ e k ɔ n ɑ nʲː ɐ
виконати	ʋ ɪ k ɔ n ɐ t e
використовувати	ʋ e k ɔ r e s t ɔ w ʊ ʋ ɐ t e
вимога	ʋ e m ɔ ɦ ɐ
виникнути	ʋ ɪ n e k n ʊ t e
виняток	ʋ ɪ nʲ ɐ t ɔ k
випадків	ʋ ɪ p ɐ dʲ kʲ i u̯
виразно	ʋ e r ɑ z n ɔ
висота	ʋ e s ɔ t ɑ
виступати	ʋ e s t ʊ p ɑ t e
вихідних	ʋ e xʲ i d n ɪ x
вихідні	ʋ e xʲ i dʲ nʲ i
влада	w ɫ ɑ d ɐ
власність	w ɫ ɑ sʲ nʲ i sʲ tʲ
вночі	w n o t͡ʃʲ i
вогню	w o ɦ nʲ u
вогонь	w ɔ ɦ ɔ nʲ
водій	w o dʲ i i̯
володимир	w ɔ ɫ ɔ d ɪ m e r
волосся	w ɔ ɫ ɔ sʲː ɐ
воля	w ɔ lʲ ɐ
вони	w ɔ n ɪ
воно	w ɔ n ɔ
ворог	w ɔ r ɔ ɦ
ворота	w ɔ r ɔ t ɐ
воювати	w ɔ j ʊ ʋ ɑ t e
воєначальник	w ɔ j e n ɐ t͡ʃ ɑ lʲ n e k
впевнений	ʍ p ɛ u̯ n e n e i̯
вперше	ʍ p ɛ r ʃ e
враження	w r ɑ ʒ e nʲː ɐ
вранці	w r ɑ nʲ t͡sʲ i
вся	ʍ sʲ ɑ
всі	ʍ sʲ i
втрата	ʍ t r ɑ t ɐ
втратити	ʍ t r ɑ t e t e
втрачати	ʍ t r ɐ t͡ʃ ɑ t e
вхід	ʍ xʲ i d
вівторок	ʋʲ i u̯ t ɔ r ɔ k
від	ʋʲ i d
відвідати	ʋʲ i dʲ ʋʲ i d ɐ t e
відданість	ʋʲ i dː ɐ nʲ i sʲ tʲ
відкриття	ʋʲ i d k r e tʲː ɑ
відмова	ʋʲ i d m ɔ ʋ ɐ
відміну	ʋʲ i dʲ mʲ i n ʊ
відновлювати	ʋʲ i d n ɔ u̯ lʲ ʊ ʋ ɐ t e
відомство	ʋʲ i d ɔ m s t w ɔ
відповідати	ʋʲ i d p ɔ ʋʲ i d ɑ t e
відповідь	ʋʲ i d p ɔ ʋʲ i dʲ
відродження	ʋʲ i d r ɔ d͡ʒ e nʲː ɐ
відсвяткувати	ʋʲ i d͡z sʲ ʋʲ ɐ t k ʊ ʋ ɑ t e
відстоювати	ʋʲ i d͡z s t ɔ j ʊ ʋ ɐ t e
відчуття	ʋʲ i d͡ʒ t͡ʃ ʊ tʲː ɑ
віктор	ʋʲ i k t ɔ r
вільний	ʋʲ i lʲ n e i̯
він	ʋʲ i n
віру	ʋʲ i r ʊ
вітер	ʋʲ i t e r
гаджет	ɦ ɑ d͡ʒ e t
галузь	ɦ ɑ ɫ ʊ zʲ
геноцид	ɦ e n ɔ t͡s ɪ d
глава	ɦ ɫ ɐ ʋ ɑ
голова	ɦ ɔ ɫ ɔ ʋ ɑ
головний	ɦ ɔ ɫ ɔ u̯ n ɪ i̯
горло	ɦ ɔ r ɫ ɔ
горох	ɦ ɔ r ɔ x
господар	ɦ ɔ s p ɔ d ɐ r
готовий	ɦ ɔ t ɔ ʋ e i̯
готувати	ɦ ɔ t ʊ ʋ ɑ t e
гра	ɦ r ɑ
грошей	ɦ r ɔ ʃ e i̯
груди	ɦ r u d e
грі	ɦ rʲ i
губернатор	ɦ ʊ b e r n ɑ t ɔ r
дати	d ɑ t e
дві	dʲ ʋʲ i
де	d ɛ
дев'яти	d e ʋ j ɐ t ɪ
дев'ять	d ɛ ʋ j ɐ tʲ
декларація	d e k ɫ ɐ r ɑ t͡sʲ i j ɐ
демонстрація	d e m ɔ n s t r ɑ t͡sʲ i j ɐ
демонструвати	d e m ɔ n s t r ʊ ʋ ɑ t e
день	d ɛ nʲ
держав	d e r ʒ ɑ u̯
держава	d e r ʒ ɑ ʋ ɐ
державний	d e r ʒ ɑ u̯ n e i̯
дизентерія	d e z e n t e rʲ i j ɐ
дикий	d ɪ k e i̯
дистанційне	d e s t ɐ nʲ t͡sʲ i i̯ n e
для	dʲ lʲ ɑ
дня	dʲ nʲ ɑ
дніпро	dʲ nʲ i p r ɔ
до	d ɔ
договір	d ɔ ɦ ɔ ʋʲ i r
додавати	d ɔ d ɐ ʋ ɑ t e
додатку	d ɔ d ɑ t k ʊ
додому	d ɔ d ɔ m ʊ
донька	d ɔ nʲ k ɐ
допомога	d ɔ p ɔ m ɔ ɦ ɐ
допомогти	d ɔ p ɔ m ɔ ɦ t ɪ
досить	d ɔ s e tʲ
дослідження	d o sʲ lʲ i d͡ʒ e nʲː ɐ
достатньо	d ɔ s t ɑ tʲ nʲ ɔ
доступ	d ɔ s t ʊ p
дощ	d ɔ ʃ t͡ʃ
другу	d r u ɦ ʊ
друзями	d r u zʲ ɐ m e
друзів	d r u zʲ i u̯
дуже	d u ʒ e
думку	d u m k ʊ
дякую	dʲ ɑ k ʊ j ʊ
дізнатися	dʲ i z n ɑ t e sʲ ɐ
дім	dʲ i m
діяти	dʲ i j ɐ t e
експерт	e k s p ɛ r t
емоції	e m ɔ t͡sʲ i j i
енергією	e n ɛ r ɦʲ i j e j ʊ
епохи	e p ɔ x e
епідеміологічний	e pʲ i d e mʲ i ɔ ɫ o ɦʲ i t͡ʃ n e i̯
етап	e t ɑ p
ефір	e fʲ i r
жаль	ʒ ɑ lʲ
живіт	ʒ e ʋʲ i t
жити	ʒ ɪ t e
житло	ʒ e t ɫ ɔ
життя	ʒ e tʲː ɑ
жовтий	ʒ ɔ u̯ t e i̯
жінка	ʒʲ i n k ɐ
забезпечення	z ɐ b e z p ɛ t͡ʃ e nʲː ɐ
забезпечити	z ɐ b e z p ɛ t͡ʃ e t e
завадити	z ɐ ʋ ɑ d e t e
завдання	z ɐ u̯ d ɑ nʲː ɐ
завдяки	z ɐ u̯ dʲ ɐ k ɪ
завтра	z ɑ u̯ t r ɐ
загальний	z ɐ ɦ ɑ lʲ n e i̯
задоволення	z ɐ d ɔ w ɔ ɫ e nʲː ɐ
зазвичай	z ɐ z ʋ e t͡ʃ ɑ i̯
займатися	z ɐ i̯ m ɑ t e sʲ ɐ
займається	z ɐ i̯ m ɑ j e t͡sʲː ɐ
законодавство	z ɐ k ɔ n ɔ d ɑ u̯ s t w ɔ
законопроект	z ɐ k ɔ n ɔ p r ɔ ɛ k t
замовити	z ɐ m ɔ ʋ e t e
замінити	z ɐ mʲ i n ɪ t e
заперечувати	z ɐ p e r ɛ t͡ʃ ʊ ʋ ɐ t e
запитання	z ɐ p e t ɑ nʲː ɐ
започаткувати	z ɐ p ɔ t͡ʃ ɐ t k ʊ ʋ ɑ t e
зареєструвати	z ɐ r e j e s t r ʊ ʋ ɑ t e
заробити	z ɐ r ɔ b ɪ t e
засмучений	z ɐ s m u t͡ʃ e n e i̯
заспокоїти	z ɐ s p ɔ k ɔ j i t e
заступник	z ɐ s t u p n e k
засідання	z ɐ sʲ i d ɐ nʲː ɐ
зателефонувати	z ɐ t e ɫ e f ɔ n ʊ ʋ ɑ t e
захворювання	z ɐ x w ɔ rʲ ʊ ʋ ɐ nʲː ɐ
захворювань	z ɐ x w ɔ rʲ ʊ ʋ ɐ nʲ
захищати	z ɐ x e ʃ t͡ʃ ɑ t e
звичайно	z ʋ e t͡ʃ ɑ i̯ n ɔ
звідси	zʲ ʋʲ i d͡z s e
звідти	zʲ ʋʲ i d t e
згадати	z ɦ ɐ d ɑ t e
згода	z ɦ ɔ d ɐ
здоров'я	z d ɔ r ɔ ʋ j ɐ
здійснити	zʲ dʲ i i̯ s n ɪ t e
зеленський	z e ɫ ɛ nʲ sʲ k e i̯
зменшити	z m ɛ n ʃ e t e
змусити	z m u s e t e
змі	zʲ mʲ i
змінити	zʲ mʲ i n ɪ t e
знайти	z n ɐ i̯ t ɪ
знаменитість	z n ɐ m e n ɪ tʲ i sʲ tʲ
значення	z n ɑ t͡ʃ e nʲː ɐ
знищити	z n ɪ ʃ t͡ʃ e t e
знімати	zʲ nʲ i m ɑ t e
знімок	zʲ nʲ i m ɔ k
зображення	z ɔ b r ɑ ʒ e nʲː ɐ
зовсім	z ɔ u̯ sʲ i m
золотом	z ɔ ɫ ɔ t ɔ m
зона	z ɔ n ɐ
зрада	z r ɑ d ɐ
зрештою	z r ɛ ʃ t ɔ j ʊ
зрозуміти	z r ɔ z ʊ mʲ i t e
зростання	z r ɔ s t ɑ nʲː ɐ
зростати	z r ɔ s t ɑ t e
зуби	z u b e
зупинити	z ʊ p e n ɪ t e
зустріч	z u s tʲ rʲ i t͡ʃ
зустрічей	z u s tʲ rʲ i t͡ʃ e i̯
зустрічі	z u s tʲ rʲ i t͡ʃʲ i
зірка	zʲ i r k ɐ
його	j ɔ ɦ ɔ
йогурт	j ɔ ɦ ʊ r t
кабінет	k ɐ bʲ i n ɛ t
календаря	k ɐ ɫ e n d ɐ rʲ ɑ
картина	k ɐ r t ɪ n ɐ
катерина	k ɐ t e r ɪ n ɐ
керівництво	k e rʲ i u̯ n ɪ t͡s t w ɔ
ким	k ɪ m
кипіти	k e pʲ i t e
китай	k e t ɑ i̯
києвом	k ɪ j e w ɔ m
києві	k ɪ j e ʋʲ i
київ	k ɪ j i u̯
київський	k ɪ j i u̯ sʲ k e i̯
клуб	k ɫ u b
книга	k n ɪ ɦ ɐ
книжка	k n ɪ ʒ k ɐ
кодекс	k ɔ d e k s
кожен	k ɔ ʒ e n
кожного	k ɔ ʒ n ɔ ɦ ɔ
козаків	k ɔ z ɐ kʲ i u̯
коли	k ɔ ɫ ɪ
колишній	k ɔ ɫ ɪ ʃ nʲ i i̯
колумбія	k o ɫ u m bʲ i j ɐ
команда	k ɔ m ɑ n d ɐ
компанія	k ɔ m p ɑ nʲ i j ɐ
комісія	k o mʲ i sʲ i j ɐ
комітет	k ɔ mʲ i t ɛ t
контроль	k ɔ n t r ɔ lʲ
коронавірус	k ɔ r ɔ n ɐ ʋʲ i r ʊ s
коріння	k o rʲ i nʲː ɐ
кохати	k ɔ x ɑ t e
кращий	k r ɑ ʃ t͡ʃ e i̯
критеріїв	k r e t ɛ rʲ i j i u̯
крім	k rʲ i m
кріп	k rʲ i p
купувати	k ʊ p ʊ ʋ ɑ t e
кількісний	kʲ i lʲ kʲ i s n e i̯
кількість	kʲ i lʲ kʲ i sʲ tʲ
кінець	kʲ i n ɛ t͡sʲ
лабораторний	ɫ ɐ b ɔ r ɐ t ɔ r n e i̯
лавка	ɫ ɑ u̯ k ɐ
лев	ɫ ɛ u̯
легендарний	ɫ e ɦ e n d ɑ r n e i̯
легко	ɫ ɛ ɦ k ɔ
листя	ɫ ɪ sʲ tʲ ɐ
лише	ɫ e ʃ ɛ
лівий	lʲ i ʋ e i̯
лідер	lʲ i d e r
ліжко	lʲ i ʒ k ɔ
лікарні	lʲ i k ɑ r nʲ i
ліки	lʲ i k e
майбутнє	m ɐ i̯ b u tʲ nʲ e
майже	m ɑ i̯ ʒ e
максим	m ɐ k s ɪ m
мало	m ɑ ɫ ɔ
маріуполь	m ɐ rʲ i u p ɔ lʲ
марія	m ɐ rʲ i j ɐ
мати	m ɑ t e
матч	m ɑ t͡ʃː
машина	m ɐ ʃ ɪ n ɐ
мелодій	m e ɫ ɔ dʲ i i̯
мене	m e n ɛ
менше	m ɛ n ʃ e
мені	m e nʲ i
метеорит	m e t e ɔ r ɪ t
метрів	m ɛ tʲ rʲ i u̯
мешканець	m ɛ ʃ k ɐ n e t͡sʲ
модель	m ɔ d ɛ lʲ
можливість	m ɔ ʒ ɫ ɪ ʋʲ i sʲ tʲ
можна	m ɔ ʒ n ɐ
молоко	m ɔ ɫ ɔ k ɔ
момент	m ɔ m ɛ n t
моя	m ɔ j ɑ
мої	m ɔ j i
музей	m ʊ z ɛ i̯
мій	mʲ i i̯
міністерство	mʲ i nʲ i s t ɛ r s t w ɔ
місце	mʲ i s t͡s e
місцевий	mʲ i s t͡s ɛ ʋ e i̯
міський	mʲ i sʲ k ɪ i̯
місяць	mʲ i sʲ ɐ t͡sʲ
міф	mʲ i f
набагато	n ɐ b ɐ ɦ ɑ t ɔ
навчання	n ɐ u̯ t͡ʃ ɑ nʲː ɐ
навіть	n ɑ ʋʲ i tʲ
надавати	n ɐ d ɐ ʋ ɑ t e
надати	n ɐ d ɑ t e
називати	n ɐ z e ʋ ɑ t e
найбільш	n ɐ i̯ bʲ i lʲ ʃ
найбільше	n ɐ i̯ bʲ i lʲ ʃ e
нам	n ɑ m
наміри	n ɑ mʲ i r e
напередодні	n ɐ p e r e d ɔ dʲ nʲ i
направити	n ɐ p r ɑ ʋ e t e
наприклад	n ɐ p r ɪ k ɫ ɐ d
наразі	n ɐ r ɑ zʲ i
нарешті	n ɐ r ɛ ʃ tʲ i
народження	n ɐ r ɔ d͡ʒ e nʲː ɐ
народний	n ɐ r ɔ d n e i̯
насамперед	n ɐ s ɑ m p e r e d
населення	n ɐ s ɛ ɫ e nʲː ɐ
насильство	n ɐ s ɪ lʲ s t w ɔ
насправді	n ɐ s p r ɑ u̯ dʲ i
наступного	n ɐ s t u p n ɔ ɦ ɔ
насіння	n ɐ sʲ i nʲː ɐ
наук	n ɐ u k
наші	n ɑ ʃʲ i
наявність	n ɐ j ɑ u̯ nʲ i sʲ tʲ
небезпеки	n e b e z p ɛ k e
недостатньо	n e d ɔ s t ɑ tʲ nʲ ɔ
незалежності	n e z ɐ ɫ ɛ ʒ n ɔ sʲ tʲ i
неподалік	n e p ɔ d ɐ lʲ i k
нерв	n ɛ r ʋ
неї	n ɛ j i
нині	n ɪ nʲ i
них	n ɪ x
новий	n ɔ ʋ ɪ i̯
номер	n ɔ m e r
нього	nʲ ɔ ɦ ɔ
ні	nʲ i
ніздрі	nʲ i z dʲ rʲ i
ній	nʲ i i̯
ніколи	nʲ i k ɔ ɫ e
ніч	nʲ i t͡ʃ
обговорення	ɔ b ɦ ɔ w ɔ r e nʲː ɐ
обережно	ɔ b e r ɛ ʒ n ɔ
область	ɔ b ɫ ɐ sʲ tʲ
обличчя	ɔ b ɫ ɪ t͡ʃʲː ɐ
обмін	ɔ b mʲ i n
обов'язок	ɔ b ɔ ʋ j ɐ z ɔ k
обрати	ɔ b r ɑ t e
огайо	ɔ ɦ ɑ j ɔ
один	ɔ d ɪ n
окремий	ɔ k r ɛ m e i̯
окрім	o k rʲ i m
олег	ɔ ɫ ɛ ɦ
олександр	ɔ ɫ e k s ɑ n d r
олена	ɔ ɫ ɛ n ɐ
операція	ɔ p e r ɑ t͡sʲ i j ɐ
опозиція	ɔ p ɔ z ɪ t͡sʲ i j ɐ
опір	ɔ pʲ i r
організація	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j ɐ
організації	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j i
організм	ɔ r ɦ ɐ nʲ i z m
організований	ɔ r ɦ ɐ nʲ i z ɔ ʋ ɐ n e i̯
особисто	ɔ s ɔ b ɪ s t ɔ
особливо	ɔ s ɔ b ɫ ɪ w ɔ
